證期會代碼,公司簡稱,分類代碼,分類名稱
04681P,統一JC,0999P,認售權證
04682P,統一JD,0999P,認售權證
04683P,統一JE,0999P,認售權證
04684P,統一JF,0999P,認售權證
04685P,EJ元大,0999P,認售權證
04686P,EK元大,0999P,認售權證
04687P,國泰GC,0999P,認售權證
04688P,國泰GD,0999P,認售權證
04689P,凱基EQ,0999P,認售權證
04690P,凱基ET,0999P,認售權證
04691P,兆豐KA,0999P,認售權證
04692P,群益8P,0999P,認售權證
04693P,群益8U,0999P,認售權證
04694P,NK永豐,0999P,認售權證
04695P,元富LM,0999P,認售權證
04696P,元富LN,0999P,認售權證
04697P,元富LP,0999P,認售權證
04698P,康和FI,0999P,認售權證
04699P,工銀NM,0999P,認售權證
04700P,凱基EV,0999P,認售權證
04701P,NQ永豐,0999P,認售權證
04702P,國票GK,0999P,認售權證
04703P,元富LR,0999P,認售權證
04704P,統一JK,0999P,認售權證
04705P,09富邦,0999P,認售權證
04706P,EV元大,0999P,認售權證
04707P,國票GP,0999P,認售權證
04708P,統一JR,0999P,認售權證
04709P,統一JS,0999P,認售權證
04710P,統一JT,0999P,認售權證
04711P,亞東92,0999P,認售權證
04712P,13富邦,0999P,認售權證
04713P,14富邦,0999P,認售權證
04714P,工銀NP,0999P,認售權證
04715P,元富LY,0999P,認售權證
04716P,國票GS,0999P,認售權證
04717P,凱基FB,0999P,認售權證
04718P,日盛K8,0999P,認售權證
04719P,兆豐KD,0999P,認售權證
04720P,兆豐KU,0999P,認售權證
04721P,亞東99,0999P,認售權證
04722P,A1亞東,0999P,認售權證
04723P,群益9K,0999P,認售權證
04724P,群益9L,0999P,認售權證
04725P,群益9M,0999P,認售權證
04726P,群益9N,0999P,認售權證
04727P,群益9P,0999P,認售權證
04728P,20富邦,0999P,認售權證
04729P,21富邦,0999P,認售權證
04730P,日盛L2,0999P,認售權證
04731P,日盛L3,0999P,認售權證
04732P,凱基FD,0999P,認售權證
04733P,凱基FH,0999P,認售權證
04734P,國泰GH,0999P,認售權證
04735P,永豐12,0999P,認售權證
04736P,FG元大,0999P,認售權證
04737P,FH元大,0999P,認售權證
04738P,統一JY,0999P,認售權證
04739P,統一JZ,0999P,認售權證
04740P,元富LZ,0999P,認售權證
04741P,元富MA,0999P,認售權證
04742P,中信9N,0999P,認售權證
04743P,中信9P,0999P,認售權證
04744P,凱基FM,0999P,認售權證
