"證期會代碼","公司簡稱","TSE 產業別"
6153,"嘉聯益",28
6155,"鈞寶",28
6164,"華興",26
6165,"捷泰",28
6166,"凌華",25
6168,"宏齊",26
6172,"互億",25
6176,"瑞儀",26
6183,"關貿",30
6184,"大豐電",20
6189,"豐藝",29
6191,"精成科",28
6192,"巨路",31
6196,"帆宣",31
6197,"佳必琪",31
6201,"亞弘電",31
6202,"盛群",24
6205,"詮欣",28
6206,"飛捷",25
6209,"今國光",26
6213,"聯茂",28
6214,"精誠",30
6215,"和椿",31
6216,"居易",27
6224,"聚鼎",28
6225,"天瀚",26
6226,"光鼎",26
6230,"超眾",25
6235,"華孚",25
6239,"力成",24
6243,"迅杰",24
6251,"定穎",28
6257,"矽格",24
6269,"台郡",28
6271,"同欣電",24
6277,"宏正科",25
6278,"台表科",26
6281,"全國電",29
6282,"康舒",28
6283,"淳安",27
6285,"啟碁",27
6286,"立錡",24
6289,"華上",26
6505,"台塑化",23
6605,"帝寶",5
6702,"復航",15
8008,"建興電",25
8011,"台通",27
8016,"矽創",24
8021,"尖點",31
8033,"雷虎",20
8039,"台虹",28
8046,"南電",28
8070,"長華",29
8072,"陞泰",26
8078,"華寶",27
8081,"致新",24
8101,"華冠",27
8103,"瀚荃",28
8105,"凌巨",26
8110,"華東",24
8112,"至上",29
8131,"福懋科",24
8163,"達方",28
8199,"廣鎵",26
8201,"無敵",31
8210,"勤誠",25
8213,"志超",28
8215,"明基材",26
8249,"菱光",28
8261,"富鼎",24
8271,"宇瞻",24
8374,"羅昇",5
8404,"F-百和",20
8411,"F-福貞",20
8422,"可寧衛",20
8427,"F-基勝",20
8926,"台汽電",23
8940,"新天地",16
910069,"新曄",
9103,"美德醫",
910322,"康師傅",
9104,"萬宇科",
910482,"聖馬丁",
9105,"泰金寶",
910579,"歐聖",
9106,"新焦點",
910708,"新傳媒",
910801,"金衛",
910861,"神州",
910948,"Z-Obee",
9110,"越南控",
911201,"僑威控",
911602,"華豐泰",
911606,"超級",
911608,"明輝",
911609,"揚子江",
911610,"聯環",
911611,"中泰山",
911612,"滬安",
911616,"杜康",
911619,"HISAKA",
911622,"泰聚亨",
911626,"華運中國",
911868,"真明麗",
912000,"晨訊科",
912398,"友佳",
9136,"巨騰",
913889,"大成糖",
9151,"旺旺",
9157,"陽光能",
9188,"精熙",
9902,"台火",20
9904,"寶成",20
9905,"大華",20
9906,"興達",20
9907,"統一實",20
9908,"大台北",23
9910,"豐泰",20
9911,"櫻花",20
9912,"偉聯",25
9914,"美利達",20
9917,"中保",20
9918,"欣天然",23
9919,"康那香",20
9921,"巨大",20
9924,"福興",20
9925,"新保",20
9926,"新海",23
9927,"泰銘",20
9928,"中視",20
9929,"秋雨創新",20
9930,"中聯資",20
9931,"欣高",23
9933,"中鼎",20
9934,"成霖",20
9935,"慶豐富",20
9937,"全國",23
9938,"百和",20
9939,"宏全",20
9940,"信義",20
9941,"裕融",20
9942,"茂順",20
9943,"好樂迪",20
9944,"新麗",20
9945,"潤泰新",20
9955,"佳龍",20
9958,"世紀鋼",10
