05144P,MI元大
05145P,MJ元大
05146P,MK元大
05147P,永豐3S
05148P,永豐3T
05149P,永豐3U
05150P,群益GH
05151P,群益GI
05152P,群益GJ
05153P,群益GK
05154P,凱基NP
05155P,統一NN
05156P,統一NP
05157P,C1富邦
05158P,76中信
05159P,MU元大
05160P,MV元大
05161P,MW元大
05162P,MX元大
05163P,MY元大
05164P,國泰JJ
05165P,元富5Y
05166P,康和HB
05167P,工銀13
05168P,凱基NR
05169P,兆豐3U
05170P,永豐4A
05171P,永豐4B
05172P,統一NT
05173P,統一NU
05174P,統一NV
05175P,日盛BQ
05176P,NH元大
05177P,NI元大
05178P,NJ元大
05179P,國票JM
05180P,群益GS
05181P,群益GT
05182P,群益GU
05183P,群益GV
05184P,群益GW
05185P,群益GX
05186P,群益GY
05187P,群益HB
05188P,群益HC
05189P,群益HD
05190P,群益HE
05191P,群益HF
05192P,群益HG
05193P,群益HH
05194P,A5凱基
05195P,A6凱基
05196P,A7凱基
05197P,D3富邦
05198P,D4富邦
05199P,E1富邦
05200P,E2富邦
05201P,國票JR
05202P,國票JS
05203P,元富6K
05204P,D4凱基
05205P,D5凱基
05206P,D6凱基
05207P,D7凱基
05208P,E3凱基
05209P,D6富邦
05210P,群益HM
05211P,群益HW
05212P,E4凱基
05213P,E6凱基
05214P,E7凱基
05215P,H1亞東
05216P,H2亞東
05217P,NS元大
05218P,康和HC
05219P,康和HE
05220P,統一1D
05221P,元富6U
05222P,兆豐4N
05223P,兆豐4P
05224P,兆豐4Q
05225P,A4凱基
05226P,D3凱基
05227P,國票JV
05228P,84中信
05229P,XD元大
05230P,XE元大
05231P,XF元大
05232P,統一1F
05233P,群益IC
05234P,群益ID
05235P,H3亞東
05236P,日盛BV
05237P,元富6X
05238P,元富6Y
05239P,元富6Z
05240P,元富7A
05241P,E4富邦
05242P,XI元大
05243P,XJ元大
05244P,E8凱基
05245P,F2凱基
05246P,永豐4X
05247P,永豐4Y
05248P,永豐4Z
05249P,永豐5A
05250P,H5亞東
05251P,H6亞東
05252P,統一1L
05253P,統一1M
05254P,元富7F
05255P,元富7G
05256P,國票KC
05257P,國票KD
05258P,國票KE
05259P,康和HM
05260P,統一1P
05261P,F5凱基
05262P,日盛BY
05263P,永豐5E
05264P,國泰JL
05265P,XL元大
05266P,XM元大
05267P,XN元大
05268P,群益IG
05269P,群益IK
05270P,群益IL
05271P,XU元大
05272P,XV元大
05273P,XW元大
05274P,XX元大
05275P,XY元大
05276P,XZ元大
05277P,YA元大
05278P,日盛CC
05279P,J4亞東
05280P,F2富邦
05281P,F3富邦
05282P,F4富邦
05283P,工銀19
05284P,兆豐5L
05285P,永豐5M
05286P,永豐5R
05287P,88中信
05288P,日盛CH
05289P,F7富邦
05290P,YK元大
05291P,YL元大
05292P,YM元大
05293P,YN元大
05294P,康和HN
05295P,康和HS
05296P,元富7R
05297P,ZD元大
05298P,ZE元大
05299P,ZF元大
05300P,ZG元大
05301P,國票KK
05302P,國票KL
05303P,國票KM
05304P,G8凱基
05305P,H3凱基
05306P,日盛CL
05307P,日盛CM
05308P,群益IN
05309P,群益IP
05310P,群益JC
05311P,群益JD
05312P,群益JE
05313P,群益JF
05314P,永豐5W
05315P,永豐5X
05316P,永豐5Y
05317P,G6富邦
05318P,元富8F
05319P,J2凱基
05320P,J3凱基
05321P,J4凱基
05322P,J5凱基
05323P,工銀22
05324P,日盛CR
05325P,H2富邦
05326P,康和HV
05327P,康和IA
05328P,統一1V
05329P,永豐6G
05330P,永豐6I
05331P,永豐6J
05332P,ZN元大
05333P,兆豐6E
05334P,兆豐6F
05335P,兆豐6G
05336P,兆豐6H
05337P,兆豐6J
05338P,兆豐6K
05339P,兆豐6Q
05340P,H4富邦
05341P,95中信
05342P,96中信
05343P,97中信
05344P,98中信
05345P,統一1Y
05346P,H9凱基
05347P,J1凱基
05348P,K5凱基
05349P,工銀23
05350P,工銀24
05351P,工銀25
05352P,工銀31
05353P,K8凱基
05354P,L3凱基
05355P,工銀33
05356P,ZV元大
05357P,ZW元大
05358P,元富8P
05359P,群益JI
05360P,群益JJ
05361P,群益JK
05362P,群益JQ
05363P,群益JR
05364P,群益JS
05365P,群益JT
05366P,群益JU
05367P,永豐6X
05368P,永豐6Y
05369P,永豐6Z
05370P,永豐7A
05371P,康和IC
05372P,日盛DA
05373P,H8富邦
05374P,H9富邦
05375P,日盛DD
05376P,A5中信
05377P,A6中信
05378P,元大AC
05379P,L4凱基
05380P,L6凱基
05381P,國票KS
05382P,統一2E
05383P,元富8T
05384P,元富8U
05385P,A9中信
05386P,元富9A
05387P,群益KB
05388P,日盛DF
05389P,L4亞東
05390P,元大AJ
05391P,國泰JS
05392P,J5富邦
05393P,B5中信
05394P,永豐7H
05395P,國票KX
05396P,兆豐6T
05397P,兆豐7G
05398P,元大AK
05399P,元大AL
05400P,元大AM
05401P,元大AN
05402P,群益KF
05403P,群益KG
05404P,群益KK
05405P,日盛DN
05406P,L5亞東
05407P,元富9F
05408P,元大AW
05409P,兆豐7H
05410P,L6亞東
05411P,K4富邦
05412P,K5富邦
05413P,K6富邦
05414P,K7富邦
05415P,元富9N
05416P,國票LE
05417P,元大BA
05418P,C3中信
05419P,1C凱基
05420P,1K凱基
05421P,1M凱基
05422P,日盛DY
05423P,L3富邦
05424P,L4富邦
05425P,群益KS
05426P,永豐7W
05427P,永豐7X
05428P,永豐7Y
05429P,永豐7Z
05430P,元富9R
05431P,國泰JY
05432P,元大BL
05433P,元大BM
05434P,元大BN
05435P,元大BP
05436P,元大BQ
05437P,永豐8G
05438P,永豐8H
05439P,永豐8J
05440P,1Q凱基
05441P,1R凱基
05442P,工銀41
05443P,工銀42
05444P,工銀43
05445P,元富9S
05446P,元富9T
05447P,日盛EC
05448P,M1富邦
05449P,M2富邦
05450P,1S凱基
05451P,1T凱基
05452P,1W凱基
05453P,C5中信
05454P,C6中信
05455P,C7中信
05456P,C8中信
05457P,國票LL
05458P,群益KY
05459P,永豐8R
05460P,永豐8S
05461P,永豐8T
05462P,永豐8U
05463P,M9富邦
05464P,工銀45
05465P,D1中信
05466P,元大CA
05467P,兆豐8A
05468P,兆豐8J
05469P,兆豐8K
05470P,兆豐8L
05471P,兆豐8M
05472P,兆豐8N
05473P,群益LF
05474P,群益LG
05475P,國票LM
05476P,康和II
05477P,11元富
05478P,日盛EL
05479P,日盛EM
05480P,日盛EN
05481P,AA富邦
05482P,N7富邦
05483P,N8富邦
05484P,N9富邦
05485P,1Z凱基
05486P,2B凱基
05487P,2L凱基
05488P,2X凱基
05489P,工銀47
05490P,元大CE
05491P,元大CF
05492P,元大CG
05493P,元大CH
05494P,兆豐9C
05495P,N2亞東
05496P,N3亞東
05497P,32元富
