文件更新,2014-02-24 01:13:46,x,x
證期會代碼,公司簡稱,分類代碼,分類名稱
709117,元大QJ,WW,認購售權證
70911P,國泰QF,WW,認購售權證
709120,元富Z1,WW,認購售權證
709124,永豐TT,WW,認購售權證
709127,統一YN,WW,認購售權證
709128,凱基RL,WW,認購售權證
70912P,UM群益,WW,認購售權證
709133,凱基RM,WW,認購售權證
709139,凱基RP,WW,認購售權證
70913P,中信PK,WW,認購售權證
709141,富邦WD,WW,認購售權證
709142,富邦WE,WW,認購售權證
709146,永豐TY,WW,認購售權證
709147,兆豐YT,WW,認購售權證
709148,兆豐YU,WW,認購售權證
709149,兆豐YV,WW,認購售權證
70914P,元大RX,WW,認購售權證
709151,凱基RR,WW,認購售權證
709155,日盛W6,WW,認購售權證
70915P,元大RY,WW,認購售權證
709163,統一YQ,WW,認購售權證
709164,凱基RS,WW,認購售權證
709167,中信PE,WW,認購售權證
70916P,元富PR,WW,認購售權證
709173,亞東QN,WW,認購售權證
70917P,日盛PS,WW,認購售權證
709185,TK群益,WW,認購售權證
709186,TL群益,WW,認購售權證
709189,元大QV,WW,認購售權證
70918P,日盛PT,WW,認購售權證
709194,亞東QP,WW,認購售權證
70919P,日盛PU,WW,認購售權證
70920P,永豐VC,WW,認購售權證
709217,國泰PT,WW,認購售權證
70921P,兆豐ZP,WW,認購售權證
709222,元大QX,WW,認購售權證
709223,元大QY,WW,認購售權證
709224,元大QZ,WW,認購售權證
70922P,UR群益,WW,認購售權證
709233,國泰PV,WW,認購售權證
70923P,國泰QK,WW,認購售權證
709240,元大RA,WW,認購售權證
709242,元大RC,WW,認購售權證
709243,元大RD,WW,認購售權證
70924P,凱基SU,WW,認購售權證
709258,富邦WP,WW,認購售權證
70925P,元大SC,WW,認購售權證
70926P,永豐VG,WW,認購售權證
709277,永豐UP,WW,認購售權證
70927P,國票SJ,WW,認購售權證
709285,永豐UR,WW,認購售權證
709286,永豐US,WW,認購售權證
709289,TY群益,WW,認購售權證
70928P,UV群益,WW,認購售權證
709292,元富PE,WW,認購售權證
709294,兆豐ZF,WW,認購售權證
709296,元大RJ,WW,認購售權證
709297,元大RK,WW,認購售權證
709298,元大RL,WW,認購售權證
709299,凱基SF,WW,認購售權證
70929P,UZ群益,WW,認購售權證
709300,凱基SG,WW,認購售權證
709301,UA群益,WW,認購售權證
709302,UB群益,WW,認購售權證
709303,大眾VM,WW,認購售權證
709304,中信PJ,WW,認購售權證
709305,元大RP,WW,認購售權證
709306,元富PF,WW,認購售權證
709307,日盛PM,WW,認購售權證
709308,工銀R8,WW,認購售權證
709309,永豐UT,WW,認購售權證
70930P,VA群益,WW,認購售權證
709310,永豐UU,WW,認購售權證
709311,永豐UV,WW,認購售權證
709312,永豐UW,WW,認購售權證
709313,兆豐ZG,WW,認購售權證
709314,兆豐ZH,WW,認購售權證
709315,兆豐ZJ,WW,認購售權證
709316,兆豐ZK,WW,認購售權證
709317,兆豐ZL,WW,認購售權證
709318,亞東QT,WW,認購售權證
709319,國泰QB,WW,認購售權證
70931P,元大SD,WW,認購售權證
709320,國泰QC,WW,認購售權證
709321,國泰QD,WW,認購售權證
709322,康和XJ,WW,認購售權證
709323,統一YZ,WW,認購售權證
709324,凱基SH,WW,認購售權證
709325,凱基SJ,WW,認購售權證
709326,富邦WR,WW,認購售權證
709327,富邦WS,WW,認購售權證
709328,UC群益,WW,認購售權證
709329,元大RQ,WW,認購售權證
70932P,永豐VI,WW,認購售權證
709330,元大RR,WW,認購售權證
709331,元大RS,WW,認購售權證
709332,亞東QU,WW,認購售權證
709333,康和XK,WW,認購售權證
709334,康和XL,WW,認購售權證
709335,統一ZA,WW,認購售權證
709336,凱基SK,WW,認購售權證
709337,富邦WT,WW,認購售權證
709338,UE群益,WW,認購售權證
709339,UF群益,WW,認購售權證
70933P,國票SM,WW,認購售權證
709340,元大RT,WW,認購售權證
709341,元大RU,WW,認購售權證
709342,元富PH,WW,認購售權證
709343,元富PJ,WW,認購售權證
709344,元富PK,WW,認購售權證
709345,元富PL,WW,認購售權證
709346,日盛PP,WW,認購售權證
709347,日盛PQ,WW,認購售權證
709348,永豐UY,WW,認購售權證
709349,永豐UZ,WW,認購售權證
70934P,康和XR,WW,認購售權證
709350,永豐VA,WW,認購售權證
709351,國泰QE,WW,認購售權證
